,ID,Resort,Latitude_x,Longitude_x,Country_x,Continent_x,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Resort Name,Continent_y,Country_y,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/beginner lift,Sunkid Moving Carpet,Adult,Youth,Child,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Combined installation (gondola and chair),People mover,Cog railway,Funicular,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing,harvesine_distance,Month,Latitude_y,Longitude_y,Snow
41,317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,55,December - March,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,Yes,No,No,first-grindelwald,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/first-grindelwald/,2501,30.0,15.0,8.0,,0.0,0.0,0.0,,,"SFr. 64,- ","SFr. 51,-","SFr. 32,-",3.3,3.6,4.3,,,,,,,,,,,,,,,,,,,,,,5246.521441423877,2022-02-01,43.125,21.375,5.91
42,373,Pamporovo,41.64619295,24.67356329,Bulgaria,Europe,28,December - April,1926,1620,17,6,5,28,0,130,6,7,0,13,14266,Yes,Yes,Yes,No,pamporovo,Europe,Bulgaria,Smolyan,http://www.skiresort.info/ski-resort/pamporovo/,1926,17.6,6.5,5.5,,,0.0,0.0,0.0,,"BGN 55,- ",0,"BGN 33,-",2.6,2.9,3.6,,,,,,,,,,,,,,,,,,,,,,5251.900095551368,2022-01-01,47.125,3.625,3.94
43,332,Sedrun-Oberalp,46.6652022,8.704905479,Switzerland,Europe,53,November - April,2300,1500,10,35,5,50,3,0,7,5,0,12,12100,Yes,Yes,No,No,sedrun-oberalp,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/sedrun-oberalp/,2300,10.0,35.0,5.0,,,0.0,0.0,,,0,0,0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,,0.0,,,,,5257.82518612738,2022-11-01,44.375,18.375,0.79
44,283,Meiringen-Hasliberg,46.7468975,8.219472173,Switzerland,Europe,50,December - April,1055,600,20,34,6,60,8,75,6,4,5,15,16381,Yes,No,Yes,No,meiringen-hasliberg,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/meiringen-hasliberg/,2433,20.0,34.0,6.0,0.0,0.0,0.0,0.0,,,"SFr. 57,- ","SFr. 46,-","SFr. 28,-",3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,,0.0,,,,,5259.312403084194,2022-01-01,44.125,19.125,59.06
45,298,Borovets,42.2668301,23.6074324,Bulgaria,Europe,28,December - April,2560,1300,24,29,5,58,12,160,8,4,2,14,15800,Yes,Yes,Yes,No,borovets,Europe,Bulgaria,Sofia,http://www.skiresort.info/ski-resort/borovets/,2560,24.0,29.0,5.0,,0.0,0.0,0.0,,,"BGN 55,- ","BGN 40,-","BGN 30,-",3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,,0.0,,,,0.0,5260.133906694596,2022-11-01,46.625,9.125,71.65
46,331,Bormio-Cima Bianca,46.4397574,10.3924531,Italy,Europe,40,November - April,3012,1225,14,34,2,50,8,240,8,5,2,15,17630,Yes,Yes,Yes,No,bormio-cima-bianca,Europe,Italy,Lombardy,http://www.skiresort.info/ski-resort/bormio-cima-bianca/,3012,14.0,34.0,2.0,0.0,0.0,0.0,0.0,,0.0,"€ 41,- ","€ 34,-","€ 21,-",3.0,4.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,,,,,,,5262.532644516787,2022-12-01,36.625,32.375,1.97
47,280,Disentis 3000,46.7041748,8.8549785,Switzerland,Europe,49,December - April,2833,1227,20,30,10,60,10,4,9,3,1,13,10990,Yes,Yes,No,No,disentis-3000,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/disentis-3000/,2833,20.0,30.0,10.0,0.0,,0.0,0.0,0.0,0.0,"SFr. 56,- ","SFr. 42,-","SFr. 28,-",3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,,,,,,,5264.4413890724745,2022-01-01,46.625,9.375,94.88
48,257,Savognin,46.596957,9.5981493,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No,savognin,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/savognin/,2713,32.0,38.0,3.0,,0.0,0.0,0.0,0.0,0.0,"SFr. 57,- ","SFr. 50,-","SFr. 29,-",3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,,,,,,,5265.173037370875,2022-02-01,43.625,20.625,1.18
49,247,Titlis-Engelberg,46.8228773,8.400657035,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No,titlis-engelberg,Europe,Switzerland,Central Switzerland,http://www.skiresort.info/ski-resort/titlis-engelberg/,3020,19.0,37.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,"SFr. 65,- ","SFr. 46,-","SFr. 26,-",4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,,,,0.0,,,5270.307164587239,2022-03-01,39.375,28.875,24.02
50,282,San Martino di Castrozza,46.2623377,11.802828,Italy,Europe,44,November - April,2357,1404,16,32,12,60,3,150,7,14,3,24,29859,Yes,Yes,Yes,No,san-martino-di-castrozza,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),http://www.skiresort.info/ski-resort/san-martino-di-castrozza/,2357,16.0,32.0,12.0,0.0,0.0,0.0,0.0,,0.0,"€ 45,- ",0,"€ 31,-",3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,,0.0,,,,,5271.813464687857,2022-03-01,38.875,29.625,1.57
